dataset,seed,variant,step,train_loss,cum_flops,compression
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,18,10.654556274414062,2136326.3999999994,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,18,10.50439453125,1068163.200000001,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,18,8.487800598144531,5340816.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,19,7.836338043212891,22550112.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,19,9.0086669921875,11275056.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,19,9.34448528289795,6765033.6000000015,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,19,10.522055625915527,4510022.399999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,19,10.583366394042969,3382516.8000000007,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,19,10.572466850280762,2255011.1999999997,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,19,10.706852912902832,1127505.600000001,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,19,7.736753463745117,5637528.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,20,9.237123489379883,23736960.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,20,10.046113967895508,11868480.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,20,10.12243366241455,7121088.000000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,20,10.807345390319824,4747391.999999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,20,10.915513038635254,3560544.000000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,20,10.768260955810547,2373695.9999999995,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,20,10.707773208618164,1186848.000000001,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,20,9.224410057067871,5934240.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,21,7.169004917144775,24923808.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,21,8.554983139038086,12461904.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,21,8.96363353729248,7477142.400000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,21,10.24744987487793,4984761.599999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,21,10.380575180053711,3738571.2000000007,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,21,10.46957015991211,2492380.7999999993,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,21,10.426504135131836,1246190.400000001,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,21,6.964930534362793,6230952.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,22,7.2446465492248535,26110656.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,22,8.086967468261719,13055328.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,22,8.2301025390625,7833196.800000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,22,10.183769226074219,5222131.199999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,22,10.436701774597168,3916598.400000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,22,10.404102325439453,2611065.5999999996,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,22,10.47022533416748,1305532.8000000012,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,22,7.141197204589844,6527664.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,23,8.504383087158203,27297504.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,23,9.532312393188477,13648752.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,23,9.564908981323242,8189251.200000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,23,10.685002326965332,5459500.799999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,23,10.695064544677734,4094625.600000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,23,10.722578048706055,2729750.3999999994,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,23,10.7540283203125,1364875.2000000011,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,23,8.826236724853516,6824376.0,4.0
