dataset,run,step,optimizer,train_loss,val_loss
TransformerLM_LM1B_MultiRuntime_0,0,21,celo_fp8_e5m2,8.756126403808594,8.017719268798828
TransformerLM_LM1B_MultiRuntime_0,0,21,celo_int8,8.723917007446289,8.140279769897461
TransformerLM_LM1B_MultiRuntime_0,0,21,celo_int4,9.43052864074707,8.681445121765137
TransformerLM_LM1B_MultiRuntime_0,0,22,celo_fp32,6.949986934661865,8.200356483459473
TransformerLM_LM1B_MultiRuntime_0,0,22,celo_bf16,7.10524845123291,8.171184539794922
TransformerLM_LM1B_MultiRuntime_0,0,22,celo_fp16,7.046133041381836,8.16796875
TransformerLM_LM1B_MultiRuntime_0,0,22,celo_fp8_e4m3fn,7.030291557312012,8.312793731689453
TransformerLM_LM1B_MultiRuntime_0,0,22,celo_fp8_e5m2,7.122474670410156,8.190618515014648
TransformerLM_LM1B_MultiRuntime_0,0,22,celo_int8,6.997870922088623,8.19930362701416
TransformerLM_LM1B_MultiRuntime_0,0,22,celo_int4,8.090582847595215,8.265422821044922
TransformerLM_LM1B_MultiRuntime_0,0,23,celo_fp32,7.743139743804932,8.224316596984863
TransformerLM_LM1B_MultiRuntime_0,0,23,celo_bf16,7.878328323364258,8.275157928466797
TransformerLM_LM1B_MultiRuntime_0,0,23,celo_fp16,7.824878692626953,8.523082733154297
TransformerLM_LM1B_MultiRuntime_0,0,23,celo_fp8_e4m3fn,7.806621551513672,8.266798973083496
TransformerLM_LM1B_MultiRuntime_0,0,23,celo_fp8_e5m2,7.981249809265137,8.503183364868164
TransformerLM_LM1B_MultiRuntime_0,0,23,celo_int8,7.76021671295166,8.217941284179688
TransformerLM_LM1B_MultiRuntime_0,0,23,celo_int4,8.140380859375,8.641444206237793
TransformerLM_LM1B_MultiRuntime_0,0,24,celo_fp32,9.061210632324219,8.87641429901123
TransformerLM_LM1B_MultiRuntime_0,0,24,celo_bf16,9.170576095581055,8.76440715789795
TransformerLM_LM1B_MultiRuntime_0,0,24,celo_fp16,9.327255249023438,8.645112991333008
TransformerLM_LM1B_MultiRuntime_0,0,24,celo_fp8_e4m3fn,9.461606979370117,8.816132545471191
TransformerLM_LM1B_MultiRuntime_0,0,24,celo_fp8_e5m2,9.309347152709961,8.786062240600586
TransformerLM_LM1B_MultiRuntime_0,0,24,celo_int8,9.151412010192871,8.694475173950195
TransformerLM_LM1B_MultiRuntime_0,0,24,celo_int4,9.556724548339844,8.969346046447754
TransformerLM_LM1B_MultiRuntime_0,0,25,celo_fp32,8.252579689025879,7.809523582458496
TransformerLM_LM1B_MultiRuntime_0,0,25,celo_bf16,8.224464416503906,7.775566101074219
TransformerLM_LM1B_MultiRuntime_0,0,25,celo_fp16,8.28940200805664,7.848809242248535
TransformerLM_LM1B_MultiRuntime_0,0,25,celo_fp8_e4m3fn,8.277820587158203,7.872875213623047
TransformerLM_LM1B_MultiRuntime_0,0,25,celo_fp8_e5m2,8.529376983642578,8.003204345703125
TransformerLM_LM1B_MultiRuntime_0,0,25,celo_int8,8.352035522460938,8.083179473876953
TransformerLM_LM1B_MultiRuntime_0,0,25,celo_int4,8.776366233825684,8.338924407958984
TransformerLM_LM1B_MultiRuntime_0,0,26,celo_fp32,7.37056827545166,7.878265380859375
TransformerLM_LM1B_MultiRuntime_0,0,26,celo_bf16,7.286994934082031,8.077245712280273
TransformerLM_LM1B_MultiRuntime_0,0,26,celo_fp16,7.190454483032227,8.03551959991455
TransformerLM_LM1B_MultiRuntime_0,0,26,celo_fp8_e4m3fn,7.285243034362793,7.871792793273926
TransformerLM_LM1B_MultiRuntime_0,0,26,celo_fp8_e5m2,7.296749114990234,8.09469223022461
TransformerLM_LM1B_MultiRuntime_0,0,26,celo_int8,7.204190731048584,7.972616195678711
TransformerLM_LM1B_MultiRuntime_0,0,26,celo_int4,7.7392897605896,8.331482887268066
TransformerLM_LM1B_MultiRuntime_0,0,27,celo_fp32,7.273674011230469,7.701315402984619
TransformerLM_LM1B_MultiRuntime_0,0,27,celo_bf16,7.324499130249023,7.739989280700684
TransformerLM_LM1B_MultiRuntime_0,0,27,celo_fp16,7.254907608032227,7.781975746154785
TransformerLM_LM1B_MultiRuntime_0,0,27,celo_fp8_e4m3fn,7.240695953369141,7.690304756164551
TransformerLM_LM1B_MultiRuntime_0,0,27,celo_fp8_e5m2,7.22983455657959,7.924563884735107
TransformerLM_LM1B_MultiRuntime_0,0,27,celo_int8,7.336950778961182,7.922725677490234
TransformerLM_LM1B_MultiRuntime_0,0,27,celo_int4,7.972654342651367,8.278938293457031
TransformerLM_LM1B_MultiRuntime_0,0,28,celo_fp32,7.914796352386475,7.417813301086426
TransformerLM_LM1B_MultiRuntime_0,0,28,celo_bf16,8.016172409057617,7.519635200500488
TransformerLM_LM1B_MultiRuntime_0,0,28,celo_fp16,8.022150039672852,7.58259391784668
